K,P,MAX_LEVEL,Time,VL,PL
5,2,3,0.7198159694671631,3.5492809,0.07205207428557088
5,2,5,0.8071858882904053,3.1393679999999997,0.06032226183422101
5,2,8,0.8886277675628662,3.0718219,0.059251679441014705
5,2,10,0.911217212677002,3.0724233666666665,0.05953839259227819
5,2,15,0.937061071395874,3.073604133333333,0.0593206529772898
5,2,20,0.9636969566345215,3.073604133333333,0.05932324688431063
5,3,3,0.671550989151001,4.1972276,0.0579296557818177
5,3,5,0.7494738101959229,4.140222799999999,0.04876515417198233
5,3,8,0.7695479393005371,4.1364444,0.04884867106623656
5,3,10,0.7856121063232422,4.1364444,0.04888421272113541
5,3,15,0.7793779373168945,4.1364444,0.048862596655582735
5,3,20,0.8278510570526123,4.1364444,0.04886349415044872
5,5,3,0.6305129528045654,4.5480388,0.03335798757328177
5,5,5,0.6496729850769043,4.5480388,0.032866573680586604
5,5,8,0.6516091823577881,4.5480388,0.03285780392826618
5,5,10,0.6553759574890137,4.5480388,0.03285780392826618
5,5,15,0.6502730846405029,4.5480388,0.03285780392826618
5,5,20,0.6555581092834473,4.5480388,0.03285780392826618
5,8,3,0.4578571319580078,4.5480388,0.0
5,8,5,0.4528818130493164,4.5480388,0.0
5,8,8,0.455272912979126,4.5480388,0.0
5,8,10,0.4584770202636719,4.5480388,0.0
5,8,15,0.4528648853302002,4.5480388,0.0
5,8,20,0.4532439708709717,4.5480388,0.0
10,2,3,0.5244479179382324,4.4629477,0.08101964372667399
10,2,5,0.6430461406707764,3.635787866666667,0.06820421717823363
10,2,8,0.7657108306884766,3.3785309666666667,0.06675228944247302
10,2,10,0.8142368793487549,3.3184410333333325,0.06734474874657435
10,2,15,0.874748945236206,3.3073943666666663,0.06680066232769495
10,2,20,0.8360843658447266,3.3051418,0.06680323374136762
10,3,3,0.5048909187316895,4.965622866666667,0.06883894795356259
10,3,5,0.6112189292907715,4.5354734,0.0570525864998739
10,3,8,0.6749303340911865,4.4755302666666665,0.0567810389780916
10,3,10,0.6924610137939453,4.473642666666667,0.05687333585143396
10,3,15,0.7993149757385254,4.473320966666667,0.056841563020207084
10,3,20,0.7000858783721924,4.473320966666667,0.05684184031354088
10,5,3,0.48298072814941406,5.691106566666667,0.05628296289445698
10,5,5,0.5631809234619141,5.631085533333334,0.049308026250430376
10,5,8,0.5630030632019043,5.630260633333334,0.04935394176047002
10,5,10,0.5779438018798828,5.630260633333334,0.04933177025527918
10,5,15,0.5787608623504639,5.630260633333334,0.04933177025527918
10,5,20,0.5655229091644287,5.630260633333334,0.04933177025527918
10,8,3,0.4290659427642822,6.250332666666666,0.03064636514679646
10,8,5,0.452564001083374,6.250332666666666,0.030568889285342175
10,8,8,0.47244691848754883,6.250332666666666,0.030568889285342175
10,8,10,0.4437558650970459,6.250332666666666,0.030568889285342175
10,8,15,0.44681215286254883,6.250332666666666,0.030568889285342175
10,8,20,0.4461500644683838,6.250332666666666,0.030568889285342175
20,2,3,0.4230217933654785,5.565136666666667,0.08879282334702086
20,2,5,0.6002111434936523,4.3141202666666665,0.07650372844064662
20,2,8,0.8819591999053955,3.7165451,0.07317631448233981
20,2,10,0.853247880935669,3.5497050666666667,0.07411040871806616
20,2,15,0.933013916015625,3.5088519666666667,0.0730434405240439
20,2,20,0.9235389232635498,3.5090089999999994,0.07304912941025915
20,3,3,0.41898322105407715,6.008934666666666,0.07452384885762263
20,3,5,0.562903881072998,5.132066466666666,0.06192161406132743
20,3,8,0.6493339538574219,4.874685,0.06136599814376667
20,3,10,0.687283992767334,4.830142266666666,0.06167140226883991
20,3,15,0.6860601902008057,4.828226766666667,0.061497741186742325
20,3,20,0.6957340240478516,4.8277197,0.06149866119616898
20,5,3,0.3975040912628174,6.7616985,0.07157821746202395
20,5,5,0.515099048614502,6.385575533333334,0.0603662724377344
20,5,8,0.545079231262207,6.312799700000001,0.060490556499140154
20,5,10,0.5512759685516357,6.3113193,0.060574668916387436
20,5,15,0.557506799697876,6.3113193,0.060574668916387436
20,5,20,0.5566251277923584,6.3113193,0.060574668916387436
20,8,3,0.37619495391845703,7.415761333333333,0.0604220154607033
20,8,5,0.45015883445739746,7.355551133333334,0.05399241969937888
20,8,8,0.468475341796875,7.3584825333333335,0.0539220752516799
20,8,10,0.48253369331359863,7.3584825333333335,0.05388034416999504
20,8,15,0.46775221824645996,7.3584825333333335,0.05388034416999504
20,8,20,0.45822811126708984,7.3584825333333335,0.05388034416999504
50,2,3,0.36076903343200684,8.683841633333332,0.11634985881595865
50,2,5,0.5099148750305176,6.6619276,0.10373726746311149
50,2,8,0.7454578876495361,5.327919866666666,0.09768187554345328
50,2,10,0.968127965927124,4.557340366666668,0.09976593452879322
50,2,15,1.1632513999938965,4.172341766666667,0.09700447154425783
50,2,20,1.268667221069336,4.135700366666667,0.09699937924444957
50,3,3,0.34265995025634766,9.086532633333334,0.09392869156663901
50,3,5,0.470228910446167,7.229336533333334,0.08227923579460687
50,3,8,0.6840901374816895,6.213368433333333,0.07783298021135852
50,3,10,0.8200225830078125,5.748592633333334,0.07920516284992496
50,3,15,0.8808779716491699,5.603067333333333,0.07792971375548319
50,3,20,0.902379035949707,5.598541399999999,0.07794418465756614
50,5,3,0.3307042121887207,9.612717066666667,0.07553288588911636
50,5,5,0.45392775535583496,8.0460014,0.06364755773572445
50,5,8,0.6511740684509277,7.381794866666666,0.06253728467366218
50,5,10,0.7461788654327393,7.288647233333333,0.06289256957600488
50,5,15,0.7413539886474609,7.2784816,0.06268169633474574
50,5,20,0.7169620990753174,7.2783777999999995,0.06267914717438136
50,8,3,0.33236193656921387,10.056143266666666,0.07440482761358244
50,8,5,0.4749867916107178,8.865444966666667,0.062253920259987196
50,8,8,0.5969891548156738,8.554441833333334,0.062397644933843734
50,8,10,0.6207261085510254,8.545194233333334,0.06248645225336224
50,8,15,0.5880329608917236,8.545194233333334,0.06248645225336224
50,8,20,0.5880310535430908,8.545194233333334,0.06248645225336224
